Domain,Primary domain,Name,Domain type,Organization,Status,Region,GovSystem,HTTP Support,HTTPS Support,Statuscode,Is archived,Archives,Archive priority,Archive Strategy,ASN,ASN Country code,IPs,GovType
i-russia.ru,,,Иное,,Неактивен,Российская Федерация,,Нет,Нет,,,,Не архивируется,,,,,Федеральная исполнительная власть
crimestat.ru,,Криминальная статистика в России,Сайт государственной информационной системы,Генеральная прокуратура РФ,Активен,Российская Федерация,ГАС Правовая статистика,Да,Нет,200,,,Высокий,"Web Archive,Parser",43797,RU,95.173.156.203,Органы прокуратуры
vetrf.ru,,ВетИС Государственная информационная система в области ветеринарии,Сайт государственной информационной системы,Россельхознадзор,Активен,Российская Федерация,,Да,Да,200,,,Высокий,Web Archive,60518,RU,62.76.145.82,Федеральная исполнительная власть
rusarchives.ru,,Портал Архивы России,Сайт государственной информационной системы,Росархив,Активен,Российская Федерация,,Да,Нет,200,,,Высокий,Web Archive,8882,RU,212.22.95.38,Федеральная исполнительная власть
ombudsmanrf.org,,Официальный сайт Уполномоченного по правам человека в Российской Федерации,Сайт подразделения при органе власти,Администрация Президента РФ,Активен,Российская Федерация,,Да,Да,200,,,Высокий,Web Archive,12389,RU,83.217.20.202,Федеральная исполнительная власть
fedstat.ru,,ГИС ЕМИСС,Сайт государственной информационной системы,Минкомсвязь России,Активен,Российская Федерация,,Нет,Нет,,,,Высокий,"Web Archive,Parser,Data dump,API Export",49186,RU,185.194.34.89,Федеральная исполнительная власть
egais.ru,,Единая государственная автоматизированная информационная система - информационный портал,Сайт государственной информационной системы,Росалкогольрегулирование,Активен,Российская Федерация,ЕГАИС,Да,Нет,200,,,Средний,Web Archive,61166,RU,146.120.90.19,Федеральная исполнительная власть
gosmonitor.ru,,АИС Госмонитор,Сайт государственной информационной системы,Минэкономразвития России,Активен,Российская Федерация,"""АИС """"Мониторинг Госсайтов""""""",Да,Да,200,,,Средний,Web Archive,12389,RU,46.61.193.11,Федеральная исполнительная власть
xn--n1abdok.xn--p1ai,,,Сайт государственной программы/проекта,Минобрнауки РФ,Другой сайт,Российская Федерация,,Да,Нет,200,,,Не архивируется,,48282,RU,178.208.83.7,Федеральная исполнительная власть
xn--80akibcicpdbetz7e2g.xn--p1ai,,,Сайт государственной информационной системы,Роструд,Активен,Российская Федерация,,Да,Да,200,,,Средний,"Web Archive,Parser",49063,RU,92.242.39.32,Федеральная исполнительная власть
xn--80apneeq.xn--p1ai,,,Сайт государственной информационной системы,Минобрнауки РФ,Активен,Российская Федерация,,Да,Да,403,,,Незначительный,Web Archive,28800,RU,193.41.140.35,Федеральная исполнительная власть
xn--80abhddbmm5bieahtk5n.xn--p1ai,,,Сайт государственной информационной системы,Минкомсвязь России,,Российская Федерация,,Да,Да,200,,,Средний,"Data dump,API Export,Web Archive",51791,RU,91.207.79.50,Федеральная исполнительная власть
usynovite.ru,,Усыновление в России,Просветительский сайт,Минпросвещения РФ,,Российская Федерация,,Да,Нет,200,,,Средний,"Web Archive,Parser",50340,RU,82.202.225.171,Федеральная исполнительная власть
energourok.ru,,,Просветительский сайт,Минэкономразвития России,Пустая страница,Российская Федерация,,Да,Нет,200,,,Малый,Web Archive,198047,GB,31.170.123.72,Федеральная исполнительная власть
xn----8sbmmlgncfbgqis7m.xn--p1ai,knd.ac.gov.ru,Регуляторная гильотина. Реформа контрольной и надзорной деятельности,Сайт реформы,Аналитический центр при Правительстве РФ,Перенаправляет,Российская Федерация,,Да,Да,200,,,,,8359,RU,195.96.64.250,Федеральная исполнительная власть
trudvsem.ru,,"Работа в России, поиск вакансий и резюме",Сайт государственной информационной системы,Роструд,,Российская Федерация,,Да,Да,429,,,Средний,"Data dump,API Export,Web Archive",49063,RU,185.99.9.50,Федеральная исполнительная власть
zapoved.ru,,Особо охраняемые природные территории Российской Федерации,Сайт государственной информационной системы,Минприроды РФ,,Российская Федерация,,Да,Нет,200,,,Средний,Web Archive,203226,RU,37.143.8.13,Федеральная исполнительная власть
lesegais.ru,,Единая государственная автоматизированная информационная система Учёта древесины и сделок с ней ,Сайт государственной информационной системы,Рослесхоз,,Российская Федерация,ЕГАИС учёта древесины,Да,Да,200,,,Высокий,"Data dump,API Export,Web Archive",43797,RU,95.173.158.40,Федеральная исполнительная власть
priroda-ok.ru,,ФГИС Наша природа,Сайт государственной информационной системы,Росприроднадзор,,Российская Федерация,ФГИС Наша природа,Да,Да,200,,,,"Web Archive,Parser",196764,RU,194.242.30.76,Федеральная исполнительная власть
esimo.ru,,Портал Единой государственной системы информации об обстановке в Мировом океане (ЕСИМО),Сайт государственной информационной системы,Минэкономразвития России,,Российская Федерация,,Да,Нет,200,,,Средний,"Data dump,API Export,Web Archive",30853,RU,193.7.162.201,Федеральная исполнительная власть
esimo.net,,Портал Единой государственной системы информации об обстановке в Мировом океане (ЕСИМО),Сайт государственной информационной системы,Минэкономразвития России,,Российская Федерация,,Да,Нет,200,,,Средний,"Data dump,API Export,Web Archive",62264,RU,212.193.170.40,Федеральная исполнительная власть
oceaninfo.ru,,,Сайт государственной информационной системы,Росгидромет,Неактивен,Российская Федерация,,Нет,Нет,,,,Не архивируется,,,,,Федеральная исполнительная власть
